License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
April 11 2019,204950,Quincy,Cat,Ragdoll,,98177
April 11 2019,214988,Babette,Cat,Domestic Shorthair,,98107
April 11 2019,S130076,Fredrick,Cat,Domestic Medium Hair,,98115
April 11 2019,S129320,Smokey,Cat,Domestic Shorthair,Mix,98146
April 11 2019,8007158,Soba,Cat,Domestic Shorthair,Mix,98107
April 11 2019,8007159,Yuki,Cat,Domestic Shorthair,Mix,98107
April 12 2019,S129557,BeeBee,Cat,Domestic Shorthair,Mix,98107
April 12 2019,210731,Parker,Cat,Domestic Shorthair,,98115
April 12 2019,210750,Shayna,Cat,Domestic Shorthair,,98125
April 12 2019,586617,Milkdud,Cat,Singapura,,98122
April 12 2019,S129326,Feisty,Cat,Domestic Medium Hair,Mix,98106
April 12 2019,S129327,Fuzzy,Cat,Domestic Medium Hair,Mix,98106
April 12 2019,8007165,Roo,Cat,Domestic Shorthair,Mix,98117
April 12 2019,203471,Heidi,Cat,Domestic Shorthair,,98107
April 12 2019,203472,Trouble,Cat,Domestic Shorthair,,98107
April 12 2019,S129334,Lili,Cat,Domestic Longhair,Mix,98103
April 13 2019,S142783,Barney,Cat,Domestic Shorthair,Mix,98122
April 13 2019,S136840,Levi,Cat,Domestic Shorthair,Mix,98106
April 13 2019,8007178,Archie,Cat,LaPerm,,98115
April 13 2019,8007179,Alfie,Cat,LaPerm,,98115
April 13 2019,208765,Mirabelle,Cat,Domestic Shorthair,,98103
April 13 2019,208236,Miyu,Cat,Domestic Medium Hair,,98136
April 13 2019,208781,Elsie,Cat,Domestic Shorthair,,98199
April 13 2019,S149266,Goldie,Cat,Domestic Shorthair,Mix,98112
April 13 2019,199200,Rascal,Cat,Domestic Longhair,Maine Coon,98136
April 13 2019,208391,Jojo,Cat,Domestic Shorthair,,98116
April 13 2019,203166,,Cat,Domestic Medium Hair,,98119
April 14 2019,142788,Kiera,Cat,Domestic Longhair,,98102
April 14 2019,208751,Swa,Cat,Domestic Shorthair,,98108
April 14 2019,215228,Little Missy,Cat,Domestic Shorthair,,98139
April 14 2019,215241,Lady Snoops,Cat,Domestic Shorthair,,98139
April 14 2019,8007220,Capitan,Cat,Ragdoll,,98119
April 15 2019,208130,Hermione,Cat,Domestic Shorthair,,98103
April 15 2019,204339,Lilly Pad,Cat,Domestic Shorthair,,98109
April 15 2019,S130107,Frankie,Cat,Siamese,,98121
April 15 2019,S129194,Ryder,Cat,Domestic Shorthair,,98103
April 15 2019,217823,Princess Gracie May,Cat,Domestic Shorthair,,98115
April 15 2019,208587,Cinder,Cat,Domestic Shorthair,,98119
April 16 2019,8007268,Hamilton,Cat,Mix,Mix,98144
April 16 2019,S129538,Aimee,Cat,Siamese,Mix,98125
April 16 2019,142559,Bodie,Cat,Maine Coon,Domestic Medium Hair,98136
April 16 2019,196592,Kali,Cat,Domestic Shorthair,,98103
April 16 2019,284892,Willabiscuit,Cat,Domestic Medium Hair,,98103
April 16 2019,204799,Jetsabelle,Cat,Domestic Shorthair,,98178
April 16 2019,208389,Tom Tom,Cat,Domestic Shorthair,,98116
April 16 2019,202792,Jet,Cat,Domestic Shorthair,,98199
April 16 2019,208745,Jackie,Cat,Domestic Shorthair,,98199
April 16 2019,204817,Nova,Cat,Siamese,Domestic Shorthair,98105
April 16 2019,208770,Vincent,Cat,Domestic Shorthair,,98144
April 16 2019,8007276,Boston Cream Pie,Cat,American Shorthair,Siamese,98122
April 16 2019,8007278,Saint Fluffy Cloud,Cat,American Shorthair,Mix,98122
April 16 2019,204983,Zorro,Cat,Domestic Longhair,,98102
April 16 2019,8007279,Hamilton,Cat,Domestic Shorthair,Mix,98109
April 16 2019,8007288,Endora,Cat,Domestic Shorthair,Mix,98105
April 16 2019,206271,Lisa,Cat,Domestic Shorthair,,98109
April 17 2019,203681,Tucker,Cat,LaPerm,,98115
April 17 2019,8007291,Caper,Cat,Domestic Medium Hair,Maine Coon,98125
April 17 2019,8007292,Nutmeg,Cat,Domestic Shorthair,Mix,98125
April 17 2019,S150448,Jazzy,Cat,Domestic Shorthair,Mix,98126
April 17 2019,S151377,Habibi,Cat,Domestic Shorthair,Mix,98115
April 17 2019,282786,Frida,Cat,Domestic Medium Hair,,98107
April 17 2019,142746,Diego,Cat,Snowshoe,,98107
April 17 2019,S150450,Spirit,Cat,Siamese,Mix,98109
April 17 2019,8007309,Orion,Cat,Domestic Shorthair,Mix,98102
April 18 2019,S142786,Cooper,Cat,Domestic Shorthair,Mix,98105
April 18 2019,S151383,Delilah,Cat,Domestic Shorthair,Mix,98109
April 18 2019,208211,Fluff,Cat,Domestic Longhair,,98117
April 18 2019,8007330,Chell,Cat,American Shorthair,Mix,98106
April 19 2019,S126659,Chester,Cat,Domestic Shorthair,Mix,98118
April 19 2019,S129476,Steinbeck,Cat,American Shorthair,,98103
April 19 2019,S129475,Nyx,Cat,American Shorthair,,98103
April 19 2019,8007367,Rocky,Cat,Domestic Shorthair,Mix,98119
April 19 2019,S150455,Epona,Cat,Ragdoll,Mix,98119
April 19 2019,S150456,Jezebel,Cat,Domestic Shorthair,Mix,98133
April 19 2019,S129553,Chloe,Cat,Domestic Shorthair,Mix,98117
April 19 2019,S129554,Fanny,Cat,Domestic Shorthair,Mix,98117
April 19 2019,8007375,Emily,Cat,Maine Coon,,98115
April 20 2019,S142787,Shanti,Cat,Domestic Longhair,Mix,98136
April 20 2019,202706,Honee,Cat,Domestic Medium Hair,,98121
April 20 2019,204611,Gus,Cat,Domestic Shorthair,,98144
April 20 2019,215073,Daphne,Cat,Domestic Longhair,,98117
April 20 2019,215075,Sweet William,Cat,Domestic Longhair,,98117
April 20 2019,208774,Callie,Cat,Domestic Shorthair,,98117
April 20 2019,284867,Bodie,Cat,Domestic Shorthair,,98117
April 20 2019,217650,Ava,Cat,American Shorthair,,98117
April 20 2019,215220,Dragon,Cat,Domestic Shorthair,,98178
April 20 2019,S129547,Sophie,Cat,Domestic Shorthair,Mix,98117
April 20 2019,S150471,Missy,Cat,Domestic Shorthair,Mix,98121
April 20 2019,8007391,Clive,Cat,Domestic Shorthair,Mix,98121
April 20 2019,214984,Chester,Cat,Domestic Shorthair,,98115
April 21 2019,S129396,Black Beauty,Cat,Domestic Shorthair,Mix,98133
April 21 2019,S128396,Haru,Cat,Domestic Shorthair,Mix,98199
April 21 2019,129140,Willy,Cat,Domestic Shorthair,,98107
April 21 2019,S151386,Casey,Cat,Domestic Shorthair,Mix,98199
April 21 2019,217849,Tux,Cat,LaPerm,,98199
April 21 2019,8007407,Isabel,Cat,Domestic Shorthair,Mix,98126
April 21 2019,S126673,Mipha,Cat,Domestic Shorthair,Mix,98121
April 21 2019,215232,Elwha,Cat,LaPerm,,98104
April 21 2019,S129717,Sinatra,Cat,Siamese,,98115
April 21 2019,8007418,Teddy,Cat,Domestic Shorthair,Mix,98122
April 22 2019,8007432,George,Cat,Domestic Medium Hair,Mix,98133
April 22 2019,208647,Buddy,Cat,Domestic Longhair,,98105
April 22 2019,208646,Hank,Cat,Domestic Shorthair,Mix,98105
April 22 2019,8007442,Cringer,Cat,Bengal,Mix,98121
April 22 2019,S151395,Zelda,Cat,Domestic Shorthair,,98125
April 22 2019,198102,Satin,Cat,Domestic Shorthair,,98106
April 23 2019,8007463,Loki,Cat,Mix,Mix,98122
April 23 2019,S129822,Pangur,Cat,Ragdoll,Domestic Longhair,98144
April 23 2019,8007468,Louie,Cat,Russian Blue,,98105
April 23 2019,S138169,Lucy,Cat,Abyssinian,American Shorthair,98119
April 23 2019,8007489,Sissel,Cat,American Shorthair,Mix,98115
April 23 2019,8007491,Ava,Cat,Domestic Shorthair,Mix,98108
April 23 2019,8007492,Sam,Cat,Domestic Shorthair,Mix,98108
April 24 2019,S131851,Mayme,Cat,Siamese,Mix,98117
April 24 2019,8001800,Sally,Cat,Domestic Shorthair,,98125
April 24 2019,202911,Tosca,Cat,LaPerm,,98117
April 24 2019,202912,Luna,Cat,LaPerm,,98117
April 24 2019,S130624,Boo,Cat,Bombay,,98107
April 24 2019,198443,Thelma,Cat,Domestic Medium Hair,,98105
April 24 2019,198444,Louise,Cat,Domestic Medium Hair,,98105
April 24 2019,204594,Willow,Cat,Domestic Shorthair,,98103
April 24 2019,S128787,Bella,Cat,Domestic Shorthair,Siamese,98146
April 24 2019,S148380,Maya,Cat,Domestic Longhair,Mix,98117
April 24 2019,S150479,Seamus,Cat,Domestic Shorthair,Mix,98104
April 24 2019,8007506,Emelia,Cat,Domestic Shorthair,Mix,98126
April 24 2019,215281,Trouble,Cat,Domestic Medium Hair,,98126
April 25 2019,203128,Rex,Cat,Domestic Shorthair,,98199
April 25 2019,S150485,Smokey,Cat,Domestic Shorthair,Mix,98126
April 25 2019,208534,Louie,Cat,Domestic Shorthair,,98133
April 25 2019,S150486,Tori,Cat,Domestic Shorthair,Mix,98105
April 26 2019,210759,Jade,Cat,Domestic Shorthair,,98125
April 26 2019,210758,Chai Marie,Cat,Domestic Shorthair,,98125
April 26 2019,S126671,Jinx,Cat,Domestic Shorthair,Mix,98133
April 26 2019,208102,Felix,Cat,Domestic Shorthair,,98108
April 26 2019,8007548,Marley,Cat,Domestic Shorthair,Domestic Shorthair,98199
April 26 2019,S148392,Bella,Cat,Domestic Shorthair,Mix,98199
April 26 2019,8007551,Tabby,Cat,Russian Blue,Mix,98144
April 26 2019,S130231,Farah,Cat,Bengal,,98102
April 27 2019,142741,Chase,Cat,Domestic Shorthair,,98125
April 27 2019,142742,Sammy,Cat,Domestic Shorthair,,98125
April 27 2019,S126661,Stella,Cat,Domestic Shorthair,Mix,98115
April 27 2019,208230,Muzette,Cat,LaPerm,,98115
April 27 2019,S146150,Lenea,Cat,Domestic Longhair,Mix,98122
April 27 2019,8007574,Mushu,Cat,Bengal,Mix,98105
April 27 2019,8007580,Molly,Cat,Domestic Longhair,Mix,98146
April 28 2019,S142794,Chloe,Cat,Domestic Shorthair,Mix,98144
April 28 2019,S151399,Winchester,Cat,Domestic Medium Hair,Mix,98146
April 28 2019,142536,Bella,Cat,Domestic Shorthair,,98115
April 28 2019,S151403,Futomaki,Cat,Domestic Shorthair,Mix,98125
April 28 2019,284871,Buddy,Cat,Domestic Medium Hair,,98101
April 28 2019,S130324,Kady,Cat,Domestic Medium Hair,,98115
April 29 2019,203348,Domino,Cat,Persian,Mix,98122
April 29 2019,203353,Gulliver,Cat,Persian,Mix,98122
April 29 2019,S129361,Kahlua,Cat,Domestic Shorthair,,98103
April 30 2019,199499,Lilith,Cat,Birman,,98121
April 30 2019,142734,Oreo Wenburg,Cat,Domestic Medium Hair,,98108
April 30 2019,215204,Niles Wenburg,Cat,American Shorthair,,98108
April 30 2019,208558,Lucas,Cat,Domestic Shorthair,,98115
April 30 2019,203962,Charles,Cat,Domestic Shorthair,,98199
April 30 2019,203963,Mick,Cat,Domestic Shorthair,,98199
April 30 2019,203603,Theoden,Cat,Domestic Medium Hair,Mix,98107
April 30 2019,214993,Tabitha,Cat,Siamese,Mix,98115
April 30 2019,142539,Moz,Cat,Domestic Shorthair,,98101
May 01 2019,8007677,Ash,Cat,Domestic Longhair,Mix,98102
May 01 2019,8007678,Azrael,Cat,American Shorthair,Mix,98199
May 01 2019,8007680,Minnie,Cat,American Shorthair,Mix,98199
May 01 2019,S148397,Deucalion,Cat,Domestic Shorthair,Mix,98133
May 01 2019,217834,Nahti Majesty,Cat,Siamese,Mix,98125
May 01 2019,284896,Ari Bandit,Cat,Himalayan,,98125
May 01 2019,S129192,Stella,Cat,Domestic Shorthair,Mix,98102
May 01 2019,S151410,Gambit,Cat,Chartreux,,98102
May 01 2019,S151409,Arya,Cat,Domestic Shorthair,,98102
May 01 2019,S148398,Mango,Cat,Domestic Shorthair,Mix,98116
May 01 2019,208622,BB,Cat,Domestic Medium Hair,,98112
May 01 2019,142482,Georgia,Cat,Domestic Shorthair,,98144
May 01 2019,204562,Reilly,Cat,Domestic Shorthair,,98133
May 01 2019,204516,Thomas,Cat,Domestic Shorthair,,98133
May 02 2019,S111693,Newman,Cat,Domestic Shorthair,Mix,98125
May 02 2019,S128779,Schmeeber,Cat,Domestic Shorthair,Mix,98106
May 02 2019,S128778,Eddie,Cat,Domestic Shorthair,Mix,98106
May 02 2019,S128788,Bella,Cat,Domestic Shorthair,Mix,98108
May 02 2019,S128789,Poet,Cat,Domestic Shorthair,Mix,98108
May 03 2019,S119777,Lily,Cat,Domestic Shorthair,Mix,98125
May 03 2019,8007723,Mabel,Cat,Domestic Shorthair,Mix,98106
May 03 2019,204878,Macy Gray,Cat,Domestic Shorthair,,98117
May 03 2019,204383,Molly,Cat,Domestic Longhair,,98125
May 03 2019,204382,Hailey,Cat,Domestic Longhair,,98125
May 03 2019,209427,Sierra,Cat,LaPerm,,98121
May 03 2019,208565,Martin,Cat,Domestic Shorthair,,98117
May 03 2019,8007734,MoonShine,Cat,Domestic Medium Hair,Mix,98040
May 04 2019,210606,Sophie,Cat,Domestic Shorthair,,98199
May 04 2019,203106,Spotty,Cat,LaPerm,,98107
May 04 2019,S150509,Julius,Cat,Domestic Medium Hair,Mix,98107
May 04 2019,S150510,Sawyer,Cat,Domestic Shorthair,Mix,98107
May 04 2019,8007749,Trouble,Cat,American Shorthair,Mix,98109
May 05 2019,142555,No No Buddy,Cat,Domestic Shorthair,,98115
May 06 2019,8007782,Greysi,Cat,Domestic Shorthair,Mix,98117
May 06 2019,204994,Hazel,Cat,Domestic Shorthair,,98103
May 06 2019,142766,Leon,Cat,Domestic Medium Hair,,98103
May 07 2019,S129191,Milo,Cat,Domestic Medium Hair,Mix,98102
May 07 2019,134721,AsparaGus,Cat,Domestic Shorthair,,98115
May 07 2019,217858,Isis,Cat,Domestic Medium Hair,,98121
May 07 2019,8007816,Frank,Cat,Domestic Shorthair,,98136
May 07 2019,8007817,Chloe,Cat,Domestic Shorthair,,98136
May 07 2019,S151423,Maniutek,Cat,Domestic Shorthair,Mix,98109
May 07 2019,8007829,Barnaby,Cat,Domestic Shorthair,Mix,98144
May 08 2019,142757,Picasso,Cat,Domestic Shorthair,Mix,98115
May 08 2019,S150513,Lulu,Cat,Exotic Shorthair,,98118
May 08 2019,204620,Itsaso,Cat,Domestic Shorthair,,98118
May 08 2019,S147575,Timber,Cat,Domestic Longhair,Mix,98112
May 08 2019,S151425,Poppy,Cat,Domestic Shorthair,Mix,98125
May 09 2019,8007864,Holly,Cat,Mix,Mix,98144
May 09 2019,272688,Tsonoqua,Cat,Domestic Shorthair,Maine Coon,98112
May 09 2019,S129848,Baxter Beefy Cheeks,Cat,Domestic Longhair,Mix,98103
May 09 2019,S131193,Smokey,Cat,Russian Blue,American Shorthair,98103
May 09 2019,361336,Josie,Cat,Domestic Shorthair,,98107
May 09 2019,361176,Minnie minnie,Cat,Domestic Medium Hair,,98109
May 09 2019,S148410,Midnight,Cat,Domestic Shorthair,Mix,98122
May 09 2019,361263,Peach Pie,Cat,Domestic Shorthair,,98117
May 09 2019,8007874,Momo,Cat,Siamese,Mix,98116
May 09 2019,266465,Pie,Cat,Domestic Shorthair,,98118
May 09 2019,273227,Lady Catherine,Cat,Domestic Shorthair,,98103
May 09 2019,203496,Bodie,Cat,Domestic Shorthair,,98103
May 09 2019,8007886,Zizou,Cat,Pixie-Bob,,98108
May 10 2019,361466,Marley,Cat,Domestic Longhair,Mix,98103
May 10 2019,273780,Taffy,Cat,Siamese,Mix,98125
May 10 2019,273526,Frida,Cat,Domestic Longhair,,98119
May 10 2019,361170,Miaomi,Cat,American Shorthair,,98112
May 10 2019,208103,Ziggy,Cat,Domestic Shorthair,,98125
May 10 2019,272727,Pica Picle,Cat,Domestic Medium Hair,,98115
May 10 2019,273379,Pi,Cat,Domestic Shorthair,Russian Blue,98115
May 10 2019,269320,Gingerlily,Cat,Domestic Shorthair,Mix,98133
May 10 2019,282706,Lucy,Cat,Domestic Medium Hair,,98118
May 10 2019,272785,Tonks,Cat,Domestic Shorthair,,98117
May 10 2019,268463,Maggie,Cat,Domestic Shorthair,,98115
May 10 2019,142786,Arthur,Cat,American Shorthair,,98121
May 11 2019,S142799,Spok,Cat,Domestic Shorthair,Mix,98102
May 11 2019,S153122,James,Cat,Domestic Shorthair,Mix,98107
May 11 2019,268427,Zou Zou,Cat,Domestic Shorthair,,98115
May 11 2019,S130741,Tyri,Cat,American Shorthair,,98105
